Created as New Dataset,
cm-1,A
2895.00,3.4388
2894.00,3.4227
2893.00,3.3998
2892.00,3.3665
2891.00,3.3299
2890.00,3.2933
2889.00,3.2533
2888.00,3.2078
2887.00,3.1623
2886.00,3.1250
2885.00,3.0987
2884.00,3.0799
2883.00,3.0635
2882.00,3.0479
2881.00,3.0353
2880.00,3.0290
2879.00,3.0303
2878.00,3.0381
2877.00,3.0515
2876.00,3.0706
2875.00,3.0967
2874.00,3.1286
2873.00,3.1615
2872.00,3.1892
2871.00,3.2088
2870.00,3.2227
2869.00,3.2369
2868.00,3.2563
2867.00,3.2818
2866.00,3.3086
2865.00,3.3306
2864.00,3.3465
2863.00,3.3627
2862.00,3.3878
2861.00,3.4280
2860.00,3.4862
2859.00,3.5628
2858.00,3.6492
2857.00,3.7211
2856.00,3.7593
2855.00,3.7777
2854.00,3.7926
2853.00,3.7873
2852.00,3.7504
2851.00,3.7080
2850.00,3.6841
2849.00,3.6693
2848.00,3.6289
2847.00,3.5392
2846.00,3.4123
2845.00,3.2771
2844.00,3.1516
2843.00,3.0406
2842.00,2.9440
2841.00,2.8598
2840.00,2.7840
2839.00,2.7121
2838.00,2.6419
2837.00,2.5741
2836.00,2.5111
2835.00,2.4541
2834.00,2.4030
2833.00,2.3568
2832.00,2.3149
2831.00,2.2771
2830.00,2.2426
2829.00,2.2108
2828.00,2.1814
2827.00,2.1545
2826.00,2.1301
2825.00,2.1079
2824.00,2.0875
2823.00,2.0684
2822.00,2.0509
2821.00,2.0349
2820.00,2.0202
2819.00,2.0063
2818.00,1.9930
2817.00,1.9808
2816.00,1.9700
2815.00,1.9601
2814.00,1.9504
2813.00,1.9403
2812.00,1.9298
2811.00,1.9196
2810.00,1.9101
2809.00,1.9015
2808.00,1.8933
2807.00,1.8854
2806.00,1.8774
2805.00,1.8697
2804.00,1.8625
2803.00,1.8560
2802.00,1.8499
2801.00,1.8438
2800.00,1.8375
2799.00,1.8314
2798.00,1.8255
2797.00,1.8202
2796.00,1.8153
2795.00,1.8105
2794.00,1.8060
2793.00,1.8016
2792.00,1.7974
2791.00,1.7932
2790.00,1.7888
2789.00,1.7842
2788.00,1.7796
2787.00,1.7755
2786.00,1.7717
2785.00,1.7680
2784.00,1.7642
2783.00,1.7603
2782.00,1.7566
2781.00,1.7533
2780.00,1.7503
2779.00,1.7475
2778.00,1.7446
2777.00,1.7418
2776.00,1.7390
2775.00,1.7363
2774.00,1.7334
2773.00,1.7307
2772.00,1.7284
2771.00,1.7265
2770.00,1.7248
2769.00,1.7231
2768.00,1.7212
2767.00,1.7194
2766.00,1.7177
2765.00,1.7164
2764.00,1.7154
2763.00,1.7147
2762.00,1.7142
2761.00,1.7135
2760.00,1.7129
2759.00,1.7124
2758.00,1.7119
2757.00,1.7115
2756.00,1.7110
2755.00,1.7105
2754.00,1.7101
2753.00,1.7097
2752.00,1.7094
2751.00,1.7090
2750.00,1.7086
2749.00,1.7082
2748.00,1.7079
2747.00,1.7079
2746.00,1.7082
2745.00,1.7088
2744.00,1.7092
2743.00,1.7096
2742.00,1.7101
2741.00,1.7108
2740.00,1.7116
2739.00,1.7125
2738.00,1.7135
2737.00,1.7149
2736.00,1.7169
2735.00,1.7190
2734.00,1.7207
2733.00,1.7221
2732.00,1.7234
2731.00,1.7246
2730.00,1.7257
2729.00,1.7266
2728.00,1.7272
2727.00,1.7273
2726.00,1.7270
2725.00,1.7263
2724.00,1.7252
2723.00,1.7240
2722.00,1.7229
2721.00,1.7218
2720.00,1.7207
2719.00,1.7192
2718.00,1.7175
2717.00,1.7154
2716.00,1.7131
2715.00,1.7108
2714.00,1.7084
2713.00,1.7062
2712.00,1.7043
2711.00,1.7027
2710.00,1.7013
2709.00,1.6999
2708.00,1.6987
2707.00,1.6978
2706.00,1.6971
2705.00,1.6966
2704.00,1.6960
2703.00,1.6954
2702.00,1.6949
2701.00,1.6945
2700.00,1.6943
2699.00,1.6943
2698.00,1.6944
2697.00,1.6946
2696.00,1.6949
2695.00,1.6950
2694.00,1.6951
2693.00,1.6954
2692.00,1.6957
2691.00,1.6960
2690.00,1.6962
2689.00,1.6965
2688.00,1.6970
2687.00,1.6975
2686.00,1.6979
2685.00,1.6978
2684.00,1.6976
2683.00,1.6973
2682.00,1.6973
2681.00,1.6975
2680.00,1.6978
2679.00,1.6979
2678.00,1.6979
2677.00,1.6977
2676.00,1.6975
2675.00,1.6972
2674.00,1.6970
2673.00,1.6969
2672.00,1.6967
2671.00,1.6962
2670.00,1.6954
2669.00,1.6946
2668.00,1.6938
2667.00,1.6931
2666.00,1.6924
2665.00,1.6918
2664.00,1.6912
2663.00,1.6904
2662.00,1.6893
2661.00,1.6882
2660.00,1.6870
2659.00,1.6859
2658.00,1.6846
2657.00,1.6833
2656.00,1.6822
2655.00,1.6813
2654.00,1.6807
2653.00,1.6800
2652.00,1.6792
2651.00,1.6781
2650.00,1.6769
2649.00,1.6757
2648.00,1.6749
2647.00,1.6745
2646.00,1.6741
2645.00,1.6736
2644.00,1.6728
2643.00,1.6718
2642.00,1.6710
